아사, 88, 155
아카, 56, 171
하라, 85, 185
하사, 94, 177
나자, 92, 185
하바, 47, 169
자가, 45, 162
나마, 62, 169
나마, 75, 179
다하, 64, 153
나파, 76, 161
가하, 77, 188
파바, 59, 198
바마, 80, 179
하바, 41, 164
마가, 61, 150
가차, 53, 141
카자, 51, 163
바파, 50, 158
자아, 76, 173
사다, 40, 197
카사, 53, 162
바나, 67, 191
차파, 79, 149
라하, 87, 164
하하, 98, 164
나마, 96, 150
차파, 49, 176
아가, 92, 140
라나, 76, 173
카타, 75, 167
파차, 43, 166
아타, 49, 157
파아, 82, 160
바라, 67, 146
나다, 58, 190
하아, 87, 164
마하, 93, 182
다파, 85, 195
마바, 66, 178
타가, 42, 144
가바, 77, 182
파파, 70, 151
타타, 81, 187
하하, 95, 155
마차, 78, 174
가아, 69, 169
자나, 75, 170
다아, 85, 197
아사, 84, 156
다나, 80, 192
바가, 50, 167
나자, 79, 159
사바, 92, 174
카바, 51, 150
자타, 42, 177
다바, 49, 141
자카, 41, 160
바다, 51, 177
카바, 90, 192
차가, 56, 198
자사, 72, 157
파차, 99, 198
가나, 58, 159
카마, 80, 142
마아, 52, 145
카라, 76, 198
다카, 74, 160
가사, 80, 164
아사, 61, 147
다하, 52, 142
라자, 89, 151
가파, 41, 191
다하, 92, 181
카자, 87, 143
라사, 76, 162
타차, 88, 144
사다, 53, 183
아자, 72, 195
바다, 86, 165
자차, 81, 147
가하, 90, 151
라카, 50, 185
바바, 69, 194
자마, 66, 175
차마, 59, 181
나하, 58, 179
차바, 40, 179
사타, 41, 160
하아, 88, 175
카가, 46, 145
하라, 53, 168
카다, 67, 176
자나, 78, 191
나바, 82, 145
바라, 72, 171
나라, 81, 193
파마, 49, 190
다가, 65, 170
아타, 63, 178
바라, 72, 187
타카, 66, 165
라바, 93, 199
자카, 62, 171
카다, 86, 174
하파, 43, 166
하파, 82, 175
가타, 50, 184
자라, 43, 191
하타, 55, 183
마나, 54, 167
나라, 78, 155
파나, 71, 162
아차, 67, 177
다아, 71, 168
카파, 67, 147
다바, 70, 173
사하, 54, 141
사차, 52, 143
차가, 94, 151
차나, 78, 163
바자, 79, 150
타마, 71, 163
바마, 50, 183
자카, 56, 147
바가, 93, 189
마사, 71, 142
다파, 69, 191
타타, 85, 189
라라, 75, 193
마다, 78, 184
아나, 78, 167
타마, 44, 173
사자, 92, 192
카다, 61, 168
라파, 95, 197
가카, 67, 143
가파, 55, 152
아라, 46, 193
차하, 42, 164
다하, 73, 192
타차, 40, 190
자파, 95, 183
하다, 48, 148
자사, 81, 140
라가, 85, 149
아라, 52, 171
카나, 60, 198
하파, 73, 175
라하, 63, 188
차하, 58, 165
카하, 47, 167
차타, 54, 185
바마, 47, 158
타파, 65, 146
나마, 74, 189
타카, 69, 151
파사, 83, 187
다파, 47, 168
카타, 98, 171
하가, 65, 165
마다, 79, 176
마아, 76, 146
아아, 68, 140
나바, 60, 140
사바, 46, 157
마마, 82, 145
자라, 55, 164
아아, 88, 156
가마, 75, 160
차나, 99, 174
마가, 78, 181
라가, 74, 161
나하, 93, 169
타사, 58, 167
하다, 80, 175
바하, 87, 185
카하, 83, 162
자파, 68, 141
차타, 57, 184
카가, 55, 140
카타, 56, 173
사파, 62, 155
파나, 62, 146
다차, 66, 163
사바, 59, 144
사하, 99, 182
파사, 96, 180
라가, 47, 161
타아, 97, 179
하다, 50, 190
가마, 66, 141
파아, 74, 150
라차, 84, 146
가하, 86, 155
카하, 90, 177
나사, 93, 150
마가, 91, 148
바나, 48, 166
나다, 57, 145
타마, 85, 169
나자, 69, 178
아사, 78, 168
차사, 44, 192
다카, 89, 151
라파, 57, 161
가파, 58, 174
하파, 55, 185
차다, 89, 151
타차, 88, 186
카나, 84, 176
바바, 82, 184
하다, 41, 191
바사, 54, 170
아하, 83, 169
마가, 75, 173
라라, 53, 183
라파, 58, 148
카카, 55, 187
다차, 62, 173
아다, 84, 145
카하, 67, 142
사가, 75, 151
가라, 98, 176
파마, 67, 189
카가, 92, 172
하타, 53, 179
나가, 74, 170
카아, 55, 157
바나, 55, 191
카사, 77, 162
나타, 52, 188
사마, 96, 176
라자, 98, 197
바차, 97, 158
다다, 59, 144
사다, 54, 171
사하, 76, 175
차바, 47, 165
다마, 77, 165
다하, 97, 178
하아, 77, 143
나라, 67, 168
가바, 95, 142
타차, 95, 199
아가, 58, 145
가타, 41, 171
자다, 57, 179
차라, 73, 163
라차, 77, 187
바자, 87, 185
라바, 55, 191
차자, 96, 190
카타, 48, 159
마바, 72, 181
아카, 62, 178
바타, 43, 182
차가, 94, 193
타사, 46, 185
가다, 85, 182
자카, 96, 166
하나, 92, 147
카차, 55, 195
가사, 92, 152
바차, 82, 148
카카, 74, 159
아나, 54, 165
카마, 73, 177
나파, 75, 157
아바, 75, 182
차하, 79, 143
카아, 56, 182
라파, 61, 189
바타, 56, 141
사하, 67, 159
마나, 45, 168
다바, 65, 150
가타, 94, 163
가라, 87, 172
마파, 54, 176
자카, 69, 148
카카, 83, 162
마사, 41, 178
다바, 49, 168
차타, 50, 183
바차, 80, 194
카사, 98, 166
나차, 72, 183
파카, 98, 142
바자, 82, 179
하타, 75, 140
나라, 53, 157
마하, 87, 161
하마, 74, 187
마가, 95, 177
바라, 47, 175
하자, 67, 145
다다, 74, 152
하라, 78, 157
자아, 46, 154
마나, 83, 169
타라, 81, 143
가차, 54, 160
가다, 56, 176
차바, 98, 142
카가, 62, 169
사자, 71, 154
차타, 97, 196
하차, 68, 145
가가, 93, 167
바가, 89, 166
나파, 54, 191
하파, 46, 198
타나, 81, 187
아마, 52, 153
아카, 70, 170
카가, 59, 149
라사, 68, 151
아라, 66, 155
마다, 48, 155
마바, 95, 141
가가, 89, 144
다자, 78, 187
차가, 85, 168
마아, 78, 194
마다, 69, 187
아카, 56, 152
자나, 65, 170
마나, 85, 170
바자, 84, 180
파나, 75, 163
사하, 49, 159
라아, 75, 177
파하, 49, 169
가사, 40, 150
라타, 46, 172
카사, 95, 181
나가, 80, 160
가타, 55, 179
차바, 88, 175
파라, 99, 153
마자, 61, 193
가아, 75, 192
파파, 82, 199
나나, 77, 154
파가, 68, 156
카카, 46, 150
자하, 43, 140
차자, 88, 146
나라, 46, 165
라나, 41, 179
카사, 81, 164
파차, 56, 181
마타, 48, 196
가자, 50, 159
타마, 82, 145
자파, 55, 145
가사, 98, 147
마사, 85, 194
파가, 96, 151
하다, 46, 163
아차, 70, 182
카타, 81, 171
사카, 75, 164
나아, 64, 172
파차, 97, 196
차하, 68, 190
차하, 95, 166
자하, 82, 156
마자, 65, 189
하타, 89, 179
가바, 44, 182
카자, 67, 160
타파, 54, 195
다다, 86, 149
카하, 46, 146
하자, 56, 194
마자, 94, 191
가아, 81, 178
라라, 50, 183
라타, 81, 155
마다, 94, 166
자가, 73, 149
라가, 50, 191
마타, 69, 186
가나, 44, 165
자아, 64, 172
차타, 40, 194
파하, 90, 149
카사, 63, 166
아사, 42, 140
파차, 58, 177
하타, 92, 175
사아, 95, 156
아자, 88, 181
나카, 88, 140
차나, 71, 195
라바, 67, 141
라바, 64, 199
차사, 44, 195
나카, 92, 156
나자, 68, 149
마다, 61, 155
하라, 56, 145
파바, 44, 182
라파, 80, 159
차라, 55, 152
자마, 89, 157
마다, 88, 146
마차, 53, 165
라차, 96, 165
사파, 64, 178
타카, 94, 147
자라, 77, 195
파자, 77, 183
바자, 93, 162
카바, 94, 161
마바, 71, 195
사사, 47, 152
하아, 75, 195
다하, 64, 191
아가, 47, 157
